No.,버그 분류,아이템명,표기 수치,실제 수치,상세 내용 / 비고,처리 상태
1,장비 이미지인데 착용 불가,극한 방한복,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 능력치: 피해 감소 15%, 추위 면역, -40도까지 보호(onWear). 해당 수치를 처리 상태에 명시했습니다."
2,장비 이미지인데 착용 불가,낡은 담요,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존에는 실제 장착 집계용 armor 수치가 없어 신규 적용: 방어 1, 피해 감소 1%, 치명 감소 0%, 이동 페널티 0%."
3,장비 이미지인데 착용 불가,내산성 망토,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 능력치: 산성 면역, 오염 피해 배율 x0.10(onWear). 해당 수치를 처리 상태에 명시했습니다."
4,장비 이미지인데 착용 불가,내열 방호복,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 능력치: 72도까지 내열, 방사능 피해 배율 x0.70(onWear). 해당 수치를 처리 상태에 명시했습니다."
5,장비 이미지인데 착용 불가,강철 장갑판,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 armor 능력치: 방어 20, 피해 감소 20%, 치명 감소 15%, 이동 페널티 10%. StatSystem/EquipmentModal 모두 armor 수치를 집계하도록 반영했습니다."
6,장비 이미지인데 착용 불가,변이체 강화 방탄복,,,장비로 표시되나 착용 불가,완료 - body 슬롯 장착 가능. 기존 능력치: 피해 감소 40%(onWear). 해당 수치를 처리 상태에 명시했습니다.
7,장비 이미지인데 착용 불가,복합 장갑,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 armor 능력치: 방어 35, 피해 감소 35%, 치명 감소 30%, 이동 페널티 12%. StatSystem/EquipmentModal 모두 armor 수치를 집계하도록 반영했습니다."
8,장비 이미지인데 착용 불가,어머니의 목걸이,,,장비로 표시되나 착용 불가,"완료 - accessory 슬롯 장착 가능. 기존 능력치: 사기 감소 40% 억제, TP마다 HP 1 재생(onWear). 해당 수치를 처리 상태에 명시했습니다."
9,장비 이미지인데 착용 불가,위장복,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 능력치: 조우 확률 50% 감소, 은신 보너스 90%(onWear). 해당 수치를 처리 상태에 명시했습니다."
10,장비 이미지인데 착용 불가,은밀 슈트,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 능력치: 조우 확률 40% 감소, 은신 보너스 80%, 소음 감소 30%(onWear). 해당 수치를 처리 상태에 명시했습니다."
11,장비 이미지인데 착용 불가,천 호구,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존에는 실제 장착 집계용 armor 수치가 없어 신규 적용: 방어 2, 피해 감소 2%, 치명 감소 1%, 이동 페널티 0%."
12,장비 이미지인데 착용 불가,악어 비늘 갑옷,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 능력치: 피해 감소 35%, 방수(onWear). 해당 수치를 처리 상태에 명시했습니다."
13,장비 이미지인데 착용 불가,파워 엑소수트,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 armor 능력치: 방어 50, 피해 감소 45%, 치명 감소 40%, 이동 페널티 0%. StatSystem/EquipmentModal 모두 armor 수치를 집계하도록 반영했습니다."
14,장비 이미지인데 착용 불가,플레이트 캐리어,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 armor 능력치: 방어 18, 피해 감소 18%, 치명 감소 12%, 이동 페널티 8%. StatSystem/EquipmentModal 모두 armor 수치를 집계하도록 반영했습니다."
15,장비 이미지인데 착용 불가,합금 장갑판,,,장비로 표시되나 착용 불가,"완료 - body 슬롯 장착 가능. 기존 armor 능력치: 방어 30, 피해 감소 30%, 치명 감소 25%, 이동 페널티 8%. StatSystem/EquipmentModal 모두 armor 수치를 집계하도록 반영했습니다."
16,장비 이미지인데 착용 불가,호랑이 이빨 목걸이,,,장비로 표시되나 착용 불가,완료 - accessory 슬롯 잠금을 해제하고 장비 모달에 장신구 슬롯을 추가했습니다. 해당 아이템은 accessory 슬롯 후보로 노출됩니다.
17,표기 수치 ≠ 실제 회복 수치,군용 식량,,,표기 수치와 실제 회복 수치 상이 (상세 미기재),완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
18,표기 수치 ≠ 실제 회복 수치,군용 식량 (고급),,,표기 수치와 실제 회복 수치 상이 (상세 미기재),완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
19,표기 수치 ≠ 실제 회복 수치,김치찌개,,,표기 수치와 실제 회복 수치 상이 (상세 미기재),"완료 - onUse만 있던 소비 효과를 onConsume으로 정규화했고, warmth/heal 같은 별도 키를 체온/HP로 변환해 카드/상세 모달과 실제 소비 로직에 반영했습니다."
20,표기 수치 ≠ 실제 회복 수치,끓인 물,,,표기 수치와 실제 회복 수치 상이 (상세 미기재),완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
21,표기 수치 ≠ 실제 회복 수치,농축 혈청,,,표기 수치와 실제 회복 수치 상이 (상세 미기재),완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
22,표기 수치 ≠ 실제 회복 수치,캐비어,,,표기 수치와 실제 회복 수치 상이 (상세 미기재),"완료(표기명 확인 필요) - 실제 데이터의 후보는 대체 캐비어(caviar_local)입니다. 공통 소비 효과 표시가 적용되어 영양/사기 수치가 카드와 상세 모달에 표시됩니다. 시트명 ""캐비어""는 현재 데이터명과 달라 원본 표기 정리가 필요합니다."
23,표기 수치 ≠ 실제 회복 수치,담요,체온 0 / 사기 +5,회복 수치 미표시,체온·사기 회복 수치가 화면에 안 보임,완료 - 카드/상세 모달이 공통 소비 효과 formatter를 사용하도록 수정해 체온/사기/피로 수치가 표시됩니다.
24,표기 수치 ≠ 실제 회복 수치,두부 압박붕대,HP +8,HP +19,표기보다 많이 회복됨,완료 - 실제 붕대 추가 회복 보너스(GameState.player.bandageHpBonus)를 미리보기에도 반영하도록 수정했습니다.
25,표기 수치 ≠ 실제 회복 수치,로얄젤리,HP +60,HP +75 이상,표기보다 많이 회복됨,완료(표기명 확인 필요) - 실제 데이터명은 로열젤리(royal_jelly_medicine)입니다. HP/감염/피로 수치 표시와 실제 소비 효과가 공통 처리됩니다. 질병 치료 같은 특수 효과 문구는 별도 표시 개선 후보입니다.
